donorID,proba_donation
D104072,0.913732355672987
D126373,0.8969054797099616
D142020,0.8945754683841827
D116368,0.8934495136351028
D100267,0.8694473339197909
D144546,0.8621490011486931
D114984,0.8621490011486931
D100733,0.8617995793126008
D105756,0.8581260682325527
D127078,0.8545102031241218
D108902,0.8545102031241218
D120989,0.8545102031241218
D134638,0.8545102031241218
D131498,0.8543664056050977
D102628,0.853998206142068
D111226,0.8533370513182706
D100430,0.8533370513182706
D101702,0.8533370513182706
D136048,0.8532318491603621
D108122,0.852513214375581
D108109,0.8523753730296787
D134930,0.8523753730296787
D144596,0.8523753730296787
D123129,0.8498709359231396
D103402,0.8498709359231396
D115329,0.8498709359231396
D120525,0.8498709359231396
D113892,0.8498709359231396
D101428,0.8498709359231396
D144481,0.8497169803842096
D106872,0.8473612067838451
D125085,0.8464643216795873
D107044,0.8455380443207294
D116445,0.8455380443207294
D118753,0.844750049775489
D117689,0.8441772777251184
D126307,0.8439081032163089
D130190,0.8436436400050034
D137649,0.8430151543243731
D124131,0.8430151543243731
D118491,0.8416160472838055
D115031,0.8416160472838055
D125281,0.8398578842276826
D109096,0.8398578842276826
D112352,0.8398578842276826
D106543,0.8398578842276826
D102910,0.8393481289454666
D125306,0.8391568399453624
D119427,0.8390786487272617
D117233,0.8387232660207183
D110596,0.8387232660207183
D132399,0.8359913759884845
D102471,0.83583504730959
D121335,0.8352415247120848
D123750,0.8350771261523682
D106555,0.8345592662280454
D117687,0.8345592662280454
D117846,0.8345195921104663
D133116,0.8345195921104663
D144436,0.8345195921104663
D120147,0.8345195921104663
D129960,0.8345195921104663
D107163,0.8345195921104663
D132278,0.8345195921104663
D104544,0.8345195921104663
D136173,0.8345195921104663
D125711,0.8345195921104663
D136912,0.8345195921104663
D124636,0.8345195921104663
D113028,0.8345195921104663
D137213,0.8345195921104663
D102916,0.8345195921104663
D102862,0.8345195921104663
D116957,0.8345195921104663
D111715,0.8345195921104663
D127035,0.8340806607965344
D120441,0.8333424612098076
D120965,0.83172960636444
D109893,0.8310810744061397
D120472,0.8306753354489685
D137463,0.8305643217478618
D138471,0.8303759380980238
D131626,0.8297162715037748
D108694,0.8297162715037748
D104317,0.8296240319567061
D129712,0.8293701656164535
D110982,0.8293701656164535
D106914,0.8293701656164535
D125106,0.8293701656164535
D130165,0.8293701656164535
D135116,0.8293701656164535
D129594,0.8293701656164535
D124357,0.8293701656164535
D112720,0.8293701656164535
D116281,0.8293701656164535
D116160,0.8293701656164535
D103320,0.8293701656164535
D133597,0.8293701656164535
D135177,0.8293701656164535
D126540,0.8293701656164535
D121304,0.8293701656164535
D126982,0.8293701656164535
D135828,0.8293701656164535
D121897,0.8293701656164535
D123785,0.8293701656164535
D126183,0.8293701656164535
D128152,0.8290066038363866
D108618,0.8277142933691358
D123881,0.8276684362436314
D144379,0.8272954138429598
D126020,0.8269180422100811
D134355,0.8264790014335294
D112440,0.8264790014335294
D130203,0.8264790014335294
D101069,0.8264790014335294
D103221,0.8264790014335294
D114273,0.8264790014335294
D118140,0.8256351939553643
D123998,0.8256351939553643
D122219,0.8255938269998357
D123994,0.8252693138275573
D136261,0.8244488178613912
D103550,0.8244488178613912
D128377,0.822938182754844
D120271,0.8227637769461041
D113076,0.8227637769461041
D138529,0.8227637769461041
D105854,0.8227637769461041
D115918,0.8227637769461041
D127640,0.8227637769461041
D106347,0.8227637769461041
D106283,0.8223511990909432
D116241,0.8222213053587528
D108751,0.8214675240494772
D121782,0.8209883645965286
D103898,0.8202264820061576
D104121,0.8202264820061576
D131813,0.8202264820061576
D135954,0.8200161582315075
D129003,0.8200161582315075
D114402,0.8198380771244529
D125556,0.8189697339095311
D128882,0.8173286078712357
D129901,0.8173286078712357
D123103,0.8173286078712357
D119780,0.8173286078712357
D110715,0.8173286078712357
D122304,0.8171069284870798
D127881,0.8166215428272697
D114472,0.8163413491518644
D133300,0.8163413491518644
D129808,0.8136585847584991
D112403,0.8135122657530438
D129776,0.8135122657530438
D108646,0.8134686724881702
D127875,0.8130822769363002
D116380,0.8123798101423307
D109349,0.8114857065185055
D132726,0.8110412737329868
D135436,0.8109891023101263
D121874,0.8109248977178168
D131835,0.8101954988861245
D117579,0.8097487374943311
D114005,0.8097487374943311
D129980,0.8096433276792531
D117199,0.8096433276792531
D101865,0.8096433276792531
D136344,0.8096433276792531
D112122,0.8096433276792531
D109612,0.8084592294468952
D123160,0.8080200213871648
D135414,0.8077247048511289
D123876,0.8074214619210106
D134042,0.8070880175405007
D118204,0.8070880175405007
D104904,0.8067677446422337
D113277,0.8067039544960968
D104504,0.8062611675236528
D117501,0.8059200215959319
D119613,0.8057863208377491
D133735,0.8055583496971904
D105871,0.8051946455955165
D121779,0.8051946455955165
D109790,0.8050658466446281
D120652,0.80459791483328
D109499,0.80459791483328
D106901,0.804466505175291
D128238,0.8030647824237859
D124572,0.8030647824237859
D101320,0.8030647824237859
D132359,0.8030647824237859
D111386,0.8030647824237859
D136546,0.8021288909220434
D109802,0.8020886133895839
D144480,0.8020051338819963
D137783,0.8018529063593998
D111989,0.8018180511924055
D126850,0.8016714085884746
D135444,0.8014735071034157
D108748,0.8012882332530341
D110611,0.8012882332530341
D121540,0.8012882332530341
D108216,0.8012882332530341
D133184,0.8012882332530341
D105470,0.8012882332530341
D124470,0.8012882332530341
D121562,0.8012882332530341
D136138,0.8012882332530341
D134828,0.8012882332530341
D130944,0.8012882332530341
D134333,0.8012882332530341
D116755,0.8012882332530341
D106696,0.8012882332530341
D100350,0.8010966448441881
D106722,0.8010714048874814
D101845,0.8002707621305037
D119163,0.7998303194574758
D122313,0.7997388162464355
D116926,0.7991506120701424
D116333,0.7987874604329407
D130781,0.7985613430388152
D111474,0.7985613430388152
D124540,0.7983580602654683
D122705,0.7978480380556822
D102012,0.7978480380556822
D105999,0.7971571557874758
D133033,0.7967716519814465
D115109,0.7967716519814465
D131082,0.7964035026642339
D109403,0.7964035026642339
D128801,0.7964035026642339
D125865,0.7964035026642339
D122847,0.7964035026642339
D115588,0.7964035026642339
D119103,0.7964035026642339
D121056,0.7963569112013238
D120833,0.7963569112013238
D124786,0.7963569112013238
D135588,0.7963569112013238
D126709,0.7963569112013238
D130316,0.7963569112013238
D136088,0.795609614847236
D116267,0.7945550669187325
D121355,0.7939313318150844
D130682,0.7938076464404668
D116764,0.7936491131498574
D113043,0.7931733472616948
D132701,0.7931733472616948
D108348,0.7931733472616948
D129493,0.7931733472616948
